PageNo,Text
167,"['852', 'and', 'it', 'much,', 'also', 'hair', '&', 'emcl.', 'Black', 'very', 'my', 'eyes', 'me and hair they regard as most beautiful', 'u', 'I was soon has ded a cup of cold tea which', 'fe I drank very well. The lady who met us asked', 'se P.S. if I would eat ""sikwo on l', 'd.get receiving an affirmative answer, chewas A', 'Ll brought out on the table. A great knife ever', 'by displayed, on eh as the chinese us in', 'splitting am all wood. it was soon open', 'to', 'but friend to be over sipe and unfit', 'tis to eat. I m as next invited up a Join of', 'site steep stairs - paped through a bed norm', 'some into a sitting Room. Two square tables-', 'vas', '3  off on which were serve flower potsve-', 'm were the most conspiences pieces of', 'in. me furniture. around room was', 'All the an', '7', 'dar', 'ranged', 'an', 'am el in and a tha stand', '5', 'door altern atily. - under each chain a p air of', 'ts.', ""men's"", 'shoes. There was also a looking', 'tifest glop, and some then amoments which I did', 'me into her bed chamber: her bed was trummer', 'of not understand. an of the ladies took are', 'most sorgemos. but not very lastifuly', 'and There were several pices of foreign demestion']"
168,"['shown one. Numerous trunks Julter a little', 'can', 'hall. After returning to the sitting Room it', 'the lady who had met us sat down and', 'Wh', 'A.S. remarked her small goot ""too lay she', 'a tr', 'replied ""very layer One of the women then', 'J', 'Q', 'pulled off her shore and I looked at is', 'her', 'it was scarcely more than two inclus', 'the', 'long, but for several inches above', 'the', 'A', 'andly was equally large. The shoe was', 'it', 'very mat, pointed.', 'several men about', 'H', 'the treated', 'house me very polity', 'be', ""Any good Mission cencert at us. Nelson's ment"", 'm', 'by boat. The episcopal mission has choice', 'Cor', 'spirits int it.', 'sh', 'Aug grd "" Arouse, ah my soul every energy', 'He', 'for the solvation of the perishing. For', 'can', 'some', 'time', 'past', 'noticed', 'a', 'woman', 'ling', 'they', '0', 'immediately under our Eastern window', 'had', 'approached his confinement. My woman', 'ass', 'told me last week the babe was ban', '10', 'Soing to the window one morning', 'the', 'aroman inquired after the child. she was', 'in', 'told is had been them away! is was a girly', 'she', 'they had one daughter wanted no more by the', 'my']"
169,"['1852', 'the consent of the mother the father carried', 'm it off I put it in the street - it was after', 'd', 'was ds found dead. schno whe deed without', 'the', 'a', 'bhush - and so soon after the birth V deed', 'L I see the mother walking about armay', 'for him nighturs lively as ever! U sad, when will for', 'a', 'these things lease to be!', 'i Aug 5th weather intensely hot do not feel', 's', 'is so sensibly as when it first set in.', 'both', 'Have not felt so well as I would like -yet', 'f', 'bether I have reason to expect. Ful al-', 'ment most encouraged with my clinese in', 'rice corragements are narer and of much', 'shorter duration than discare agements,', 'my He who called me here still neigns V', 'or', 'can make me useful if he will.', 'ling Aug. 6 the ""Jhou shall westhip the Lerd they', '3', 'low Lod, & Him only shalt Jhou serve."" Satan', 'e', 'an', 'assails me an every hand 6 Sad supholdme', '-', 'the them, Christ and all his full treasures are', '> th All things are mine yet I do not enjoy', 'as within my seach, yet l fail to win. 10 when on', 'girl', 'shall I be fread from sim when be entres', ""the my Sod's:""]"
170,"['Augest paping by the Loutis residence, the', '10.', 'outer court-dor was opened and me went', 'are', 'in The doorkinger permitted us to pof', 'me', 'through the first court, and look through', 'My', 'the second. lu this second court were', '//', 'several men, perhaps sevents of those as', 'within. Four large birds - about B ft. high', 'in', 'stated about the court with measured', 'm', 'step. the man called them ""De ngaw:', 'the', 'Thing are a species of erame, resembling', 'no', 'the', 'flaming', 'in', 'shape-has', 'long', 'legs', 'it', 'of bill is white except his Fail- also a', 'm', '(', 'spotted form wonderda through the ground', 'Aug', '9th', 'Went', 'with', 'husband', 'to', 'jung', 'Pir""', 'F', 'dis situte books Harriet along. r afoing', '16', 'a', 'temple', 'entrance wention saw', 'm', 'the candles burning - a long table sport B', 'out with grust it flowers of every descript', 'it', 'tion officings to the gods. Two buge', 'as', 'idoes were of some distance each si de he', 'three men, one woa H. asked the', 'all', 'men, the maning - asked if the', 'the', 'sods. could eatire.', '60', 'ur', 'to']"
171,"['1852', 'the Progresmenting at Gro. elen Nis. o there', 'wear', 'are fulings in our midsh which outhet', 'fo not to be- I cannot claim exemption', 'my My th Pod preserve in all temptations. !', 'in 11 Truly my whole heart is evil. O how', 'thos small my desires for holiveip how lifelips-', 'fo', 'high invert! I am constantly complaining', 'd when I sit derm at might and borthorn', '""', 'the deeds of the day. - the dutus omithd', 'by', 'or drogged at- the evil passions cherish', 'by ed - the folly spoken, l think Durely', 'a my divine life is a drag.', 'and', 'Sad is my refuge, a present help in', 'i""', 'Fina th of trouble,', 'in', '16 Denit littles have Juny Quay was telling 7', 'w', 'me', 'the reason her daughter is not m arried!', 'pack Beloothed while young, when she grew up', '5', 'ip', 'it', 'was', 'found', 'the', 'intended', 'husband', 'l', 'was', 'e an opium smoker a term for everything', 'side bad. They my opinem at all risks sell', 'the all their furniture. wifes annoments. - clothes', 'L', 'the', 'their children and as a last resert their th', '+', '60', 'wives. The woman says she is not milling', 'to sine her daughter to such a man The old']"
172,"['man is deaf, and the family is princin', 'Ca', ""p ally under the old woman's control. she says Ln"", 'is is a great source of grief.', '18', 'A seattish se a office has been living', 'p', 'with a chinese woman, as husband write-', 'A', 'as least on his visits here. she had borne', 'st', 'him two children -sirls. Last week she', 'to', 'went to the ship and complained of the', 'of', 'chinese Ahuir tounts U.- threatened to kill', 'or', 'herself- she had done this before I saird', 'the', 'thoughts but little of it - tried to sacify her.', '2', 'and denly she threw off her amoments', 'Bu', 'and', 'phinged', 'into the river Bained attemph', 'but', 'ing to follow her but jot fasteride before N.', 'the boot was down the disappeard I was', '24', 'not found until two days offer', 'our', 'urday. Ms. Corpenter will Keep the girls wino fu', 'Ms haves for scatland.', '28', '17th Received a home letter which the', 'to', 'P. M. had some how detained from', 'es', 'tro. Sreen in reply to my Hang keng letter.', 'Th', ""Family well. N. mention of Due's serape, so"", '/', 'l', 'suppose', 'she', 'is not m animal for which', 'The', '62', 'I am sincerely thankful Lost a myroman', 'w']"
173,"['84', 'ci Consine mm & lash preaching. a Cousin', 'best Lou joined the Compbellites ! surprising', '18th some friends assembled. suite a', 'ing', 'pleasant evening to them l hope.', 'fe', 'Aug. 20th sifficulty upon difficulty in the', '1', 'armi study of the language -l - certainly seem A', 'she to progrees very slowly My soul is full', 'to of bitting - my uccas', 'husband also has', 'kill senaid days of sloom about the language', 'd He stydies too much I from. or', 'her. 23rd Lether from llss Peasy this health', 'its seeking trip has thus for been any they', 'but agreeable- merein a fina storm from x', 'your N. to 8- the a little eliinese boat.', 'h', 'was 24th Almost shed Tears at dismissing', 'y', 'Ad. our Cook, yet he is so pl no to learn I', 'will ful it is labor lost to try to teach him. 3', '28th Acy. Rab. ment down this morning', 'l', 'the', 'to', 'see', 'tro.', ""P.'s"", 'day', 'school.', 'Quite', 'inter', 'm esting children- - he and the teacher ask', 'tive them the catechism.', 'les,', 'A', 'stat', 'day', 'with', 'idol', 'worshippers.', '72', 'his This afternoon five gods cut each', 'oma with his prodiding - 11/2 in pafeing.']"
174,"['every imaginable drep-mem work -', 'of', 'performing some office, followed', 'On', ""chairbeavear (.8 to each idol's chair) mum wt"", 'sicians smalking & riding, he areas', 'tro', 'ambrellas, fans, prayers, meee', 'for', 'lamps V money things I knownot ur', 'the', 'ms', 'to there or four men who had books', 'of', 'My attention was attracted the', 'A', 'in', 'the', 'flesh', 'of', 'their', 'amus', 'twolich', 'm', 'were suspend by a chain, a pot of', 'ji', 'smoking incense This, I suppose', 'f', 'was extraordinary devotion. Resistents, the', '& persons diseased who had failed to', 'Q', 'remove their illurg followed many', '&', 'on foot, some in chair, & seme clil.', '&', 'deen bome an mems shoulders. As', 'to', 'my woman said ""they do not wish m', 'to die"" they thus hope to recover health.', 'm', 'A piece of board with two holes was', 'of', 'suspended from the neck of each are', 'l', 'any a chain their hands phust thro', '3', 'the holes- they were mostly deciped', 'to', 'in', 'deep.', 'red,', 'some,', 'hour meaning a with', 'government bisides. aidolaty!', 'The', 'procession']"
175,"['1852', 'ch occasionally to paused the take heath.', 'Once am idel was set dam very mean', 'mu', 'where me stood several persons', 'of from the surrounding spectators em', 'se braced the opportunity to approve eha', 'l', 'not waship. a idelating from A', 'acts the earth.', 'ooks', 'Aug 30th Sol ready to visit the anwly arrived', 'liet missimaries at Mr. Culturesters but', 'of just before starting received a note', 'By from hrs. shuck in which he ment', 'tub tioned incidentally that Mr. Ci would', '/', 'to', 'sprinkle his infort this evening', 'h', 'any & would like to have the hapt kip.go', 'h', 'clui. & witnific However me did not feel likely', 'taking a part in a commony exceall', 'sh: not approve, espe cially as there was 5', 'eath', 'no occasion for is - absence could', 'l', 'was offend no one.', 'have lu our walk this evening me mm', 'this writtingly found ourselves in the road of', 'ud the idolalsous procepion. only one idoe 72', 'with this time with his train. The prusts', 'esin are a befsorly despised class of people']"
176,"['the idol paped e. made a low to him be', 'the scarn of the community. As a', 'of asked"" Haw la vah: (Are', 'you', 'well:""-', 'm', 'the spe tators shouted with laughter his', '& one uplied ""How lin"" (""well"") Those in by', 'the pero cepion as well as the spectators yr', 'were often so full of laugh they could', 'm', 'a', 'ct', 'their', 'parts', 'with', 'de', 'eing.', 'mesterd', 'Ca', 'in the door of a temple, and it was ref', 'the duty of certain', 'reduhatted men to', 'all', 'drawl out a most dolorous sound asthy', 'cy', 'paped the door the Round continue to', 'ming so long as they could hold the', 'in', 'breath. Reveral mus chinons spee be', 'Raton created such a munimut I,', 'that several red hats since so fully', 'm', 'laugh they did not even Minnpet', 'S', 'the drawl.', 'There was nothing like', 'for', 'solumnity or order or dignits every', 'm', 'one did as he phased, & the majoritor', 'seemed to be commun Coolies.', 'for', 'Ay 31st After first lesson went to', 'act', 'to spend the day. This afternoon with 66', 'be', 'on board Ariel where we took tea. Hood', 'A']"
177,"['1.852', 'Rs', 'a plu as ant, refreshing time.', 'in', 'Sept. 1st Time flies. how swiftly five', 'months we have been in this chinese', 'Why', 'birty Hope to have our female day school', 'in', 'before a seat while meany & troubled.', 'e', 'Toro', 'yet not despending I Beem to have 1', 'ed', 'more', 'an', 'hand than I can do no it', 'Food', 'cannot be that.that is it- I am two', 'was reflective & not active, practical- not', 'to', 'always ready to must every emergen', 'asty', 'cy & always devising plans. I am slow', 'in', 'to think and must keep are oljict', '1 th', 'in', 'view, while the collaterals mush', 'year be suggested by serve are else. O I femand', 'new I will never dos much hit think. I', 'clay', 'must arouse!', 'Sept.2ord Commenced arranging room below 3', 'like for the school of firls - hope to Magin next', 'R', 'eng month. l will feel then that I am doing', '-', 'jonit something yet there are many thing', 'for me to ham Cermin andments, eatel', 'brochiam what books to use the Responsi 72', 'with irilities Mucken as life a dvances- a Sad help', 'Mad one !']"
178,"['sept. I tremble for Mitty for child, if', 'in', 'it bennot already too late. (ridiculous fears!)', 'of', 'Altimate hope of discouragement the chi', 'so', 'nese language grows daily 820 aten speak', 'Qy', 'er before me. Looking only at mapelf l', 'm', 'should dispair.', 'bus', 'Sept. 5th Rabbath, in a land which hasma', 'non', 'sabbath. my host Jhon thus beped me, 00 p', 'my Sad, my Redeman I cannot compre s', 'hend such gr all. To day our commun to', 'him season. - a little band with andhin', 'in', 'ess Christian when shall this people he', 'in', ""god's?"", 'h', 'Sept. 9th 0 the biltimels. the litting of life!', 'I', 'with every outhord bleeping I could wish-', 'By', 'the kindist of husband - with the pse ciens in', 'Book of dod in my hands the key my is m', 'savior has given to unlock this, with As', 'heart is Bowed dam - crushed. ""see these', 'all its consolations. yet my heart my', 'da', 'In', 'things', 'profit', 'me', 'nothing', 'while', 'monderi', 'for', 'sitheth in the king\'s gate:"" Sin, singin me', 'when shall I be peed. Lord m athe me 16', 'se', 'natrie the sift of life & spend is in their or se']"
179,"['1852', 'sigh', 'vice. Let most at they sure', 'me murnur', 'mi.)', 'affections is is for my am healing yet', 'with', 'so bitter!', 'creat', 'Dept 15th He afficts as he sees lest. I aee thread', 'l', '8', 'mres returning from the grove of their', 'busined hope- their charished Ramma atty A', 'one', 'must leave him in Ning po. Lod Rup', 'eld', ""ports them! (mr. Rearcy's only son dies.)"", 'upse', 'sept. 17th nhat in external', 'me', 'to render me sloong - is it because Ilive', 'chin', 'in this chinese house, so secluded-mothr', 'he', 'in to look at or excite a single Juling!', 'where', 'are', 'my', 'energies,', 'my', 'spiriti', 'h', 'ful', 'I almost dispair of even buny arrised. h', 'ish.', 'sept 18th what is it that darkens my soul that', 'my', 'cuns ememates deprives me of all energy? 0 Sad save', 'my', 'me from sloth & upining.', 'I', ', pick sept. 19th Went down to bruip.s school-good other l', 'my dance of scholars. some bright little he -', 'two', 'Turning, marted by Buy may & my, intendy', 'diga', 'from then Ato so to English service. Before', 'high', 'reaching A.M. D. met too s. eming to see wan', 'me', 'so me returned. This afternoon, we, with the', 'on', 'Sung Rung ment to tro. Igds s.n.I. service.']"
180,"['2 oth seem to make slow progreep in the An', 'language. so many interruptions, so often stre', 'too stupid to engage in study. l am full me', 'wom', 'debilitated mind incapable of study one', 'for comesiderable length of time.', 'her', 'him 6 Lord help me to dischange its dutis', 'H ope 200mg to have my school in spend a', 'Ca', 'faithfully.', 'Oc', 'Sept. 24,th Our might teacher is indeed a prom', 'Ho', 'ising young man, me leave much from', 'St', 'him & hope to lead his mind towards the lisus', 'm', 'doctrines. Candidate for my school teacher', 'le', 'is a man of epirish otherise I hardly', 'to', 'Know what to think of him. Think hid', 'sc', 'like to have his am way.', 'of', 'Mr. C. thinks our alphabet', 'would', 'mable', 'it', 'the chinese to appresent their sounds. of', 'so he is teaching it.', 'to', 'Resumed our pragramenting.', 'le', 'Oct. 20nd Bro. & sister Bearly have returned', 'to', 'l', 'their home with sad, sad hearts. They feel the', 'fo', 'stroke, yet meet it as coming from a Father', '8', 'I this throne of grace, this thema of grace we', 'to', 'christians haveill speak sorrows, and into m']"
181,"['1852', 'the', 'small,', 'he is near all alike the him. My', 'often', 'strength and my Redeemen be Then every', 'fult me. I have never felt the affiction of losing', 'study one of the family. o the thoughts of in devolved', 'how they sometimes steal upon menlly', 'and', 'a merciful dad preserve me from such a', '1', 'us', 'calamity.', 'Oct god Heard a sermon from the chaplain Mr.', 'rom', 'Hobson. The third sermon since I have been in', 'n', 'Shanghai New is is cool I must go oftens', 'cless', 'my', 'am soul needs food - else it will grow', 'his', 'lean. missionary cencert is', 'Tomorrow the', 'Ub', 'to be here Tuesday I hope to begin our h', 'hid', 'school. I tremible as I think of the se', 'h', 'sponsibilities l thus incom. Responsibility y', 'able its is a thing one cannot shift if are', 'ads. fear to take hold of it me aught asmuch', 'to fear letting is alieve. Ceme cannot fold l', 'his arms. and say is cannot laher. list', 'to', 'l should do harm."" it is like afama', 'belt', 'fearing to hoe his cotton list with the :', 'the', 'grap', 'he', 'also', 'cut', 'up', 'the', 'plant', 'or', 'a', 'some', 'on', 'and', 'who hesitatis lest bad sed be mixed', 'juil with his good. ll Sad watch over me!']"
182,"['Geth Count upon at least there to-marrow- we', 'one, the daughter of the infantrictic under mi st', 'my window. The teacher seems interested Oct', 'Raw under the eastern window - and Aye so', '5-th school opened with two pupils Too', 'Paw from the ping Too pow called Reven no', 'years, Mage Row six-thy do not appion me', 'so old. Au important step we have taken sel', 'whether it will result in good or whe the', 'O', 'we have fully weighed every step l cannot of', 'say. me have handly been here long directs. enough the It', 'to', 'it', 'survey', 'all,', 'yet', 'l', 'hope', 'our', 'god', 'Oct.6th O that we have this throne', 'of', 'graceisin', 'if', 'Jul', 'mentals', 'how', 'could', 'be', 'be', 'laved', 'if', 'this grace', 'tel', 'not', 'extended,', 'from', 'Airth', 'until', 'death!', 'ain', '""', 'constantts', 'in', 'ning - constantly despising murcus.', 'qu', 'Oct.7th Two additional pupils - interesting firls. Oe', 'I must match lest I become too Danguine of', 'too', 'anxious', 'to', 'intrule', 'jouit', 'Whether', 'I', 'witrop', 'of', 'it or not if Jhon be with me O Dad is will', 'not be in vain!', 'an', 'Oct.8th lu my walk met with a poor woman', 'be', 'who', 'had', 'lost', 'her', 'attle', 'boy', 'Her', 'cries', 'for', 'him', 'q', 'her extreme awariety efforts to find him me']"
183,"['1852', 'now.? were truly ttonching under the painful circum', 'du', 'stances. poor fellow mortals: suffering of bodyand', 'Red mind', 'Too', 'Oct. 3th Once of my little girls absent from', 'y', 'Rose eyes- whether it be only am excuse I can', '1', 'even not say. Thus we must meet with disappoint', 'can', 'taka', 'ments on every hand- must prepare our', 'selves for them', 'tin', 'Oct. 10th Sabbath. Girls teacher came in the', 'unn forenom. taught them a little of the eaten', 'ngh', 'chismite must, while are do all me can, become', 'ets.', 'Rent with doing very little Here a little and', 'am', 'there a little. One of becam L', 'our men can read- &', 'sale', 'I', 'tell the woman and the other m an me absoful he', 'Qun', 'encourage l at being able to ask them some y', 'questions.', 'Oct. to see my school increasing', 'if it only serves to do away with prejudied', 'citatic against foreigners is will do a good work. -', 'buill', 'Witnifer to - day at a neighbors h ouse kone', 'sttnding betrothed Presents over', 'oney being exchanged between the parties +', 'on', 'inf', 'his', 'never seen chinesi ladies so handsemes dregsed. before', 'quite a display of forms, t finnery. I have']"
184,"['Br. Re asg wanting his teacher are bode', 'An', 'him adim this evening his plo se', 'as', 'the be taken by our present might teacher fre', 'Oct. 12th This morning Mr. Wardner. Mile Baker an', 'C_ and myself started early to the pogodanijing the', 'miles distant up the siver. The tide was', 'an', 'favorable, and our little boat glided rapidly', 'for', 'along- Before eleven are intered a large canal-', 'the', 'paped under a bridge - entered a smaller', 'on', 'one & landed just against the Lung mu tai- In', 'or terver. We clismbed up-', '&', 'going ant on the gallery at each story. Dix', 'in', 'flights of stairs took us to the toly story', 'has', 'from which me could see the city- the', 'the', 'river withs its minads of bosts. and the', 'bills Hirty miles distant. One vast', 'in', 'jalain dothed with villages & intense etch by of a', 'immemirable camals presented itself- dr', 'the bills in the distance assuming', 'the', 'the appearance of diam the effonds. Many', 'a', 'foreignes had been before us of the top stay m', 'was', 'literally', 'covered', 'with', 'mainus', 'written', 'it', '14', 'since 44, After coming down & taking', 'am', 'rise cold smach. we want into one of the me']"
185,"['1852', 'a', 'teous temples for this appe ors to be', 'a', 'a great resort for worshippus. The first', 'the great hall contained. - just in point g', 'akn', 'curthe a huge black goddefs me', 'fin', 'the sitting positive at least theele gr. r', '-', 'an', 'each side -a little thrown back were', 'adly', 'pats for incense. Behind these were', 'and', 'three huge bronged gods elevated one', 'the', 'on a line - one on an elephant & the', 'tain middle one on a throne with blue heard', 'p-', 'of eyebrows. Behind these were clouds &', 'is', 'inds of little sods, All around the vast', 'toz', 'hall mas a now of images much larger to', 'the', 'than life, yet broking small compared h', 'd the', 'with the your lunge monstus in the', 'ty', 'st', 'centre. on the left side of the entrance', 'ith a few steps from the door was a Guye I', 'drum- well composting with the size of l', 'my', 'P', 'the central images. oupposite lung -', 'May a bill_ the very looks of which struck', '1 stor', 'me with profound astershment', 'then', 'is was made of iron thus inches thinkin', 'and if it had been turne A up I could', 'well have sented myself inits boul.']"
186,"['The clappu bung outside, and for our a', 'in', 'musiment a boy game is several states', 'to', 'it sounded like terrible thundu and the', 'n.', 'sound still lingered & lingened grow', 'His', 'lower & hoaisen 11 the Round of', 'the', 'drug', 'er', 'was much like it.. Soing book from', 'Mr', 'this into another large court + halls-we', 'wh', 'saw guide i momeroble- I the third', '0', 'caunt was no better - gods, gods I idolaty. ale', 'Feel fatigued, yet benefitted by the trip.', 'tias', 'Oct. 19th Missioneries leaving faster than', 'sh', 'coming in. The Cunning have are an', 'Ih', ""rived But the lenkins' U sluck are about"", 'dl', 'to leave- some has left bisides the', ""o'd"", 'company in I am. set is most in m', ""is the Land's"", 'he will certainly take care of it Me', 'have', 'It', 'been', 'greatly', 'ble are', 'preserved', 'through', 'the', '.', 'lad', 'first hot season and as mindri op for', 'proaches are saning over a constanting of', 'on', 'll', 'that', 'I', 'may', 'spend', 'my', 'life', 'of', 'prive', 'me', 'leges in my masters service!', 'Oct. 22. Chre death among Do few is deeply', 'loo', 'felt. us. Hale of the British consulate did 16 dre', 'last might is is said she was respond', 'sol']"
187,"['1852', 'a', 'in mind to leave this world. Ahit is well', 'the to die when me sleep an lesus. am.', 'u', 'me think Mr. Bagers sinking in consumption', 'dness creature! how n sful for be bleeding heart!', 'His poor young wife is som a mother-poon', 'G-we where', 'mi dowhood here! it is lonely enough any', 'A', 'm', 'd', 'Oct. 23rd A reality nighton family on pang street', 'itty. celebrating the muptials of a son. Rewontsy', 'timp', 'liabher were exectingly anxious that l', 'in shouldge and witrop the enemmics. As', 'an I had am invitation from the family e-', 'about d I emcluded to so & went down aboutform to', 'in', ""o'clock with the thachur woman. C.remainth"", 'and in the large hall after the first countrict y', 'have I & the ma were conducted to the', ""lithe ladies' apartments. H arried had been then g"", 'ap for several hours of said many things l', 'dright of interest were already over. They gave -', 'sinc-me Q me Ta & muts which I mummled', 'ab while looking around and being', 'hepp looked at The ladius of the house were', 'tiff dreped beyond miasure in embridy', 'quick sold & peach. A tall your man was']"
188,"['going about the rooms, very busy at', 'is', 'something. He seemed to be in a good', 'human and the Iadies were poping jokes cla', 'upon him. I had been there emakes me only an have In', 'when loud aparts of great music tohout', 'dis', 'ing announced the animal of the bridal his', 'chair. At this the tall young man was for the', 'evidently excited, and began putting in', 'a robe over his other clothes. the mother', 'The', 'assisted him, & they were, seen to shed', 'both', 'ps', 'tears. Mern survants came into the room', 'a', 'all', 'back of the ladies ball where this young', 'M', 'man, whom I now knew to he the bride', 'm', 'groom, mas, and began laying drin a', 'm', 'p M of matting The walked slowly along', 'br', 'followest by myself with the other women.', 'cer', 'All went into the great ancestral', 'Me', 'hall- it nos eronded with people. Henos 82', 'led by am elderly lady to the centre of the in', 'room. The red flowered pedan sat me an', 'the', 'the entrance containing the bride Jhru', 'he', 'women ment to the sidan & opened it.cometin.', 'a muffled head. highly adamed with gold', 'wa', 'x hearls keeped art. The hide cameforth. 78', '1', 'I']"
189,"['18502', 'embroided', '-', 'entirely conceale. d by a great red,satin', 'rod', 'robe- head q face cound in red crape. veil', 'iskis', 'closely gitted. she was conducted to the', 'can', 'bridgroom. The women attending each', 'hout directed their movements. They brued Reveral p', 'dal', 'Times to each then Then truuled with', '1', 'as', 'faces towards a table- a silker sibbon,past', 'Im', 'these part red was attached am end toeach', 'the', 'The bridefrom went through a number of', 'shud', 'prostations. vc. After', 'm', 'a time Reats were prepared for them', 'of', 'Music going an the whole while I a', '(ride', 'master of enemmiss dineting move', 'n', 'a', 'ments. After a few more prostration', 'my', 'brivings dc. the bride & groom retire d, a@ my', 'men,', 'companied by relations sele et friends.', 'l me left The woman says Ammorious the of', 'was', 'moon must go to the tridis parents', 'the with respects appresents. For there days', '-', 'or', 'the emerimines', 'Thus', 'emtinue during which', 'he does not pee his bridis face. she 1', 'slong', 'is not to slip for there mights, but', 'it', 'the', 'watch the candles representing the lize', 'I the couple. et his candle survives the']"
190,"['is is a great minfortunate she is to', 'l', 'be a mid no.', 'We', 'Oct.28th My eight girls are interesting little', 'as', 'creatures. To d day while I was down a tone', 'me', 'm', 'Knoweded at the door the teacher opened its & a', 'to', 'boy of aboit fifteen entered with a littlesist H', 'the boy is a boarding pupil of exaplain Hobsins p', '& brought his sisture to pet every thing & sahe is a', 'to come', 'next a However, many promise Oe', 'who mean come. I must arouse myself-mont', 'gis', 'Rack little creatures.', 'to the They are already', 'Ca', 'learning the catechism. l purpose preparing', 'ld', 'an oral arithmetic for present use.', 'm', 'Oett. 29th Truly this is a world of sorrow,', 'dis', 'in', 'ease and death. How my heart blude for from', 'In', 'ths. Byers. lust at out to be confined. her a', 'husband on the the verge of the grave. The for', 'physician has reduced him home as soon A u', 'as possible. - he cannot 80 now an his', 'the', ""mife's account. By the the time she is"", 'm', 'able', 'to so', 'he', 'm', 'be', 'in', 'his', 'any', 'soone.', 'yet', 'the', 'a', 'could', 'not', 'vayage', 'save', 'consumption', 'he must go, ll the agony of the from Hi', 'woman!', '80', 'Br.']"
191,"['1852', 'Oct. 30th Sr. Birton also ordered home. Truly the', 'ways', 'of', 'God are in the sea. He cansel so broy-', '-', 'ant in health and spirits entered with so', 'u', 'much zeal upon his labors. seemed destinid', 'a to fill a high place. Thus stopped in the midst.', 'ist', 'This system cannot rally from its severe', '1', 'binis prostration. He will, if he goes, return very', 'is soon, -as he now thinks. a', 'mise Oct. Fistment down this morning to hea as the', 'must girls resite their catechism Many of them', '1', 'can tell of the the creation the fall-coming -', 'ing & death of Christ. I that all my teaching', 'may he truth that I may exict a good h', 'dis', 'influence upon than minds.', 'he', 'nent', 'from', 'to', 'Rung', 'may bong- - after service ny', 'in', 'a chinaman went to bro. & A proposed', 'Just home questions professe d to be a disciples', 'am', 'of leons. the was a papiet No p. explained l', 'whisi', 'the difference between their religi m &', '-', 'is', 'ms, which rather surprised him. This', 'e.Lut', 'sevening he came & held a long talk""', 'fant He perhaps mants a tea chisis place.', 'follow with us - as if he were in in earnest', 'for', 'Bro. shuck speakers planing not to return.']"
192,"['Nov.6th She Byers go with Dr.7. on the same', 'M', 'ship that brought them ths. 73. perfers', 'N', 'rishing his am health figure confined', 'as', 'ment at sea (a Dr. being along to risking', 'for', 'Mr. Bis heri Room creature! she hopesagains 10', 'hope that he may never. They embort', 'ill', 'in Montanfork', 'm', 'Nou.ghare other christians selfish, winked', 'in', 'hearts like mine? None are born men +1', 'm', 'suppose is is so with the christian -wemust', 'eli', 'grow up to full stature. I cannot look upon in', 'a single feature of my whole character', 'with', 'L', 'complating Aid I ever more need nefenera', 'in', 'ting grace than now?', 'm', 'Nov. 8th As Burton gone-chat quite a year an since er', 'me left New Isarta together little dreaming', 'it', 'that in so short awhile one mustachen', 'those meany steps. historday Mrs. Byers labor the', 'pains overtook him no-day she some birth 13.', 'to a son. of cannot so. Polor care', 'lot', 'she had \\ inore their she could bear up', 'so', 'under. May He who has stained their for', 'keep them in the hollow of his hand!', 'No', '82', 'ago']"
193,"['1852', 'e Nov. 9th Mrs. Byers was so well this morningphe', 'is', 'was taken down to the ship at noosoons. Roor', '- one ature! so antious for her husband as to', 'hig', 'forget herself May our speat god go with the', 'ain sufferers! whose time will be next?', 'ok am I daily neglecting ? what', '11th what duties', 'A', 'means of grace within my grosp do I live', 'd in miglect of that sins am I hiding from', 'I', 'myself? that known sins do I still cling to and', 'must cherish: O, it becomes to askathese questions', 'from', 'in correst. I do not enjoy the light of diane', 'with Love as my soul longs for- I do not grow', 'ma', 'in grace as tapidly as F. give to that is h', 'my knowledge of my simful heart in he', 'incl', 'are ases more rapidly than four gings ny', 'if', 'it from sins. I seem daily to become', 'tries more cold, more indifferent to spiritual 5', 'letter Thirp - more taken rip with thing grended', 'bith 13th loining nightous house Nroken', 'into +', '-', 'L!', 'robbed a man severely wounded. Houshired', 'up several men to water all might for', 'in sometime to came', 'n', 'as', 'Nov.14th', 'Night', 'long', 'to be unembered ! such', 'Sr', 'agony as I felt there years ago-']"
194,"['Then man came to me early this', 'U', 'morning with a sad face that her son', '/', '& his father had quarreled egestuday &', '13', 'that last might the on and not come', '@', 'home. of course she wanted to so &', 'h', 'see into the affair. Tonight she neturns', 'b', 'pajing he has been persuaded home Art', '11', 'not in a very good human Has betorothed,', 'M', 'who belong the the family cried so much', 'to', 'violents to so home that she was permish', 'for', 'tad As so there months since on condition', 'in', 'of soon returning. she has not yet re', 'he', 'thurned. she seems A be anwilling to', 'for', 'm any the man- & he experience a dis- ga', 'like to her. There is a girl in the city he 18', 'is anxious to many. He dared not tell', 'if', 'his mother Do - as she s ayo, but ex-', 'for', 'prefaed such fulings to his aunt His mi', 'snother tells him he aught not to s az', 'The', 'otherwise when she has arranged his', 'he', 'An atsimorial affairs for him i but he', 'to', 'thinks he can choose for himself', 'lia', 'Jhus it stands - what is to be dine', 'I', 'ten', ""can't say."", '84', 'na']"
